arxt,278813265,1432000513,domain_users,Mon Aug  4 12:52:05 +0000 2025,domain_users,dept105,genetics_ukb65851,genetics_ukb53639,ad_jira_red,dna_aws_hpc,nnrco,step_genetics,datahub-dept105,comphealth,datahub-genetics-ukb53639,,,,,,,,,,,,,,
avgx,278843225,1432000513,domain_users,Wed Jul 30 14:59:41 +0000 2025,domain_users,rstudio-admins,grs,adv-omics,admin-marjorie,admin-lovelace,dna_aws_hpc,,,,,,,,,,,,,,,,,,
avtk,648903287,1432000513,domain_users,Tue Jun 17 08:50:08 +0000 2025,domain_users,dept105,dna_aws_hpc,datahub-genetics-ukb53639,nn_bdas_reader,datahub-210-admin,datahub-dept-105-admin,,,,,,,,,,,,,,,,,,
awlw,856711544,1432000513,domain_users,**Never logged in**,domain_users,cdd,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,
awvn,1003026599,1432000513,domain_users,Wed Jul 23 15:20:52 +0000 2025,domain_users,dna_aws_hpc,OMERO-Users,,,,,,,,,,,,,,,,,,,,,,
axvn,447745327,1432000513,domain_users,Thu Jul 10 08:46:16 +0000 2025,domain_users,ad_jira_red,dna_aws_hpc,OMERO-Users,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,
aydx,278815290,1432000513,domain_users,Fri Aug  1 11:35:49 +0000 2025,domain_users,dept105,genetics_ukb65851,genetics_ukb53639,ad_jira_red,dna_aws_hpc,nnrco,step_genetics,datahub-dept105,datahub-genetics-ukb53639,,,,,,,,,,,,,,,
aywy,1022247553,1432000513,domain_users,Mon Aug  4 13:54:27 +0000 2025,domain_users,dept105,genetics_ukb53639,ad_jira_red,dna_aws_hpc,nnrco,datahub-genetics-ukb53639,TORCH,,,,,,,,,,,,,,,,,
baja,856726522,1432000513,domain_users,Wed Jul  2 08:23:44 +0000 2025,domain_users,dna_aws_hpc,REDDP_READER_P,nngmp0050e1c3icl,,,,,,,,,,,,,,,,,,,,,
bbnd,278813227,1432000513,domain_users,**Never logged in**,domain_users,ad_jira_red,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,
bdhk,1022249606,1432000513,domain_users,**Never logged in**,domain_users,mi,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,
bitm,856700979,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,red-dp,reddp-dpt-img-dev-r,reddp-dpt-meta-dev-r,reddp-dpt-img-prd-r,reddp-dpt-meta-prd-r,REDDP_READER_P,,,,,,,,,,,,,,,,,
bkgi,981227836,1432000513,domain_users,**Never logged in**,domain_users,ad_jira_red,dna_aws_hpc,red-dp-reader-imaging-externaldata,dewp_image_analys,red-dp-tddp-endothelialcell-prod-reader,novomorph,reddp-dpt-img-dev-r,reddp-dpt-meta-dev-r,reddp-dpt-img-prd-r,reddp-dpt-meta-prd-r,OMERO-Users,REDDP_READER_P,reddp-dpt-img-prd-d,reddp_tde_hci_img_r,,,,,,,,,,
bkts,481875352,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
